Zipcode,Population,Poverty Count,No Education,High School Education,GED Education,Associates Degree,Bachelors Degree,Masters Degree,Professional Degree,Doctoral Degree,No Degree,Degree
37153,5602.0,253.0,1.0,1022.0,133.0,311.0,979.0,238.0,74.0,64.0,1156.0,1666.0
37160,33879.0,5823.0,478.0,6741.0,2212.0,1110.0,2035.0,653.0,171.0,89.0,9431.0,4058.0
37165,68.0,23.0,2.0,14.0,6.0,7.0,1.0,0.0,0.0,0.0,22.0,8.0
37166,13990.0,3330.0,102.0,3391.0,799.0,392.0,821.0,297.0,79.0,97.0,4292.0,1686.0
37167,55622.0,6872.0,415.0,10018.0,2020.0,3043.0,6603.0,1876.0,328.0,130.0,12453.0,11980.0
37171,511.0,156.0,0.0,140.0,14.0,0.0,0.0,27.0,0.0,0.0,154.0,27.0
37172,28511.0,3910.0,210.0,6594.0,1433.0,1279.0,1865.0,836.0,135.0,164.0,8237.0,4279.0
37174,33604.0,1343.0,132.0,3923.0,808.0,2307.0,5854.0,1786.0,135.0,131.0,4863.0,10213.0
37175,883.0,326.0,0.0,213.0,39.0,63.0,36.0,7.0,0.0,0.0,252.0,106.0
37178,2280.0,367.0,21.0,615.0,126.0,99.0,81.0,26.0,23.0,7.0,762.0,236.0
37179,12713.0,441.0,0.0,1262.0,207.0,879.0,2474.0,1067.0,34.0,113.0,1469.0,4567.0
37180,3309.0,255.0,31.0,828.0,107.0,201.0,191.0,45.0,0.0,0.0,966.0,437.0
37181,1715.0,235.0,10.0,383.0,85.0,100.0,66.0,30.0,9.0,8.0,478.0,213.0
37183,3145.0,697.0,5.0,853.0,194.0,163.0,239.0,74.0,21.0,7.0,1052.0,504.0
37184,5850.0,1203.0,68.0,1462.0,246.0,289.0,299.0,124.0,43.0,2.0,1776.0,757.0
37185,8482.0,1513.0,81.0,2157.0,476.0,417.0,450.0,272.0,7.0,18.0,2714.0,1164.0
37186,8825.0,1661.0,94.0,2326.0,550.0,252.0,424.0,144.0,43.0,11.0,2970.0,874.0
37187,7345.0,965.0,104.0,1788.0,590.0,229.0,230.0,181.0,32.0,51.0,2482.0,723.0
37188,14678.0,580.0,88.0,2764.0,636.0,758.0,1766.0,428.0,125.0,37.0,3488.0,3114.0
37189,3511.0,435.0,9.0,639.0,243.0,167.0,449.0,233.0,67.0,29.0,891.0,945.0
37190,8799.0,1408.0,77.0,2392.0,499.0,245.0,577.0,228.0,45.0,26.0,2968.0,1121.0
37191,3809.0,220.0,19.0,827.0,351.0,124.0,373.0,94.0,13.0,11.0,1197.0,615.0
37201,1661.0,86.0,0.0,127.0,157.0,50.0,495.0,102.0,26.0,18.0,284.0,691.0
37203,12726.0,4169.0,98.0,1400.0,314.0,254.0,2745.0,1148.0,382.0,226.0,1812.0,4755.0
37204,13760.0,1037.0,37.0,838.0,119.0,294.0,3165.0,1521.0,575.0,354.0,994.0,5909.0
37205,24714.0,1501.0,6.0,1237.0,287.0,691.0,7018.0,3486.0,2020.0,1017.0,1530.0,14232.0
37206,25372.0,6122.0,180.0,2951.0,725.0,909.0,4609.0,1723.0,459.0,425.0,3856.0,8125.0
37207,36977.0,11558.0,597.0,6013.0,1093.0,1111.0,2612.0,1384.0,114.0,220.0,7703.0,5441.0
37208,17103.0,5941.0,171.0,2567.0,491.0,379.0,1988.0,856.0,182.0,98.0,3229.0,3503.0
37209,38001.0,6495.0,209.0,4257.0,1463.0,1647.0,6163.0,2457.0,855.0,423.0,5929.0,11545.0
04030,2666.0,111.0,0.0,444.0,54.0,233.0,166.0,139.0,13.0,0.0,498.0,551.0
04032,8242.0,398.0,29.0,1000.0,181.0,595.0,1780.0,903.0,235.0,96.0,1210.0,3609.0
04037,3793.0,196.0,3.0,692.0,141.0,245.0,391.0,272.0,22.0,5.0,836.0,935.0
04038,17015.0,748.0,39.0,2417.0,276.0,1225.0,3318.0,1090.0,261.0,128.0,2732.0,6022.0
04039,7630.0,1139.0,0.0,1407.0,221.0,493.0,1316.0,436.0,40.0,11.0,1628.0,2296.0
04040,3166.0,403.0,29.0,701.0,102.0,214.0,473.0,165.0,65.0,35.0,832.0,952.0
04041,1836.0,339.0,0.0,451.0,37.0,89.0,99.0,58.0,11.0,0.0,488.0,257.0
04042,4416.0,348.0,21.0,1089.0,286.0,585.0,512.0,197.0,23.0,30.0,1396.0,1347.0
04043,11161.0,495.0,11.0,1914.0,240.0,795.0,2385.0,1134.0,394.0,238.0,2165.0,4946.0
04046,7704.0,569.0,21.0,1269.0,224.0,376.0,1406.0,476.0,175.0,184.0,1514.0,2617.0
04047,1846.0,465.0,19.0,460.0,110.0,76.0,181.0,51.0,3.0,7.0,589.0,318.0
04048,2937.0,402.0,21.0,521.0,108.0,171.0,346.0,130.0,4.0,14.0,650.0,665.0
04049,3717.0,376.0,10.0,980.0,152.0,260.0,409.0,47.0,13.0,31.0,1142.0,760.0
04050,207.0,29.0,0.0,44.0,4.0,12.0,62.0,16.0,1.0,5.0,48.0,96.0
04051,1198.0,133.0,0.0,316.0,37.0,77.0,139.0,56.0,13.0,6.0,353.0,291.0
04055,3828.0,478.0,0.0,833.0,102.0,233.0,597.0,188.0,19.0,35.0,935.0,1072.0
04056,346.0,40.0,0.0,114.0,15.0,15.0,21.0,0.0,0.0,3.0,129.0,39.0
04057,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04061,2938.0,341.0,0.0,689.0,52.0,297.0,217.0,184.0,19.0,10.0,741.0,727.0
04062,17842.0,1091.0,64.0,3566.0,678.0,1372.0,3092.0,996.0,44.0,104.0,4308.0,5608.0
04063,450.0,86.0,0.0,41.0,0.0,24.0,123.0,58.0,7.0,16.0,41.0,228.0
04064,8277.0,932.0,52.0,1816.0,441.0,713.0,1590.0,316.0,17.0,80.0,2309.0,2716.0
04066,618.0,32.0,0.0,160.0,16.0,33.0,132.0,105.0,7.0,12.0,176.0,289.0
04068,1615.0,304.0,5.0,519.0,125.0,117.0,82.0,33.0,4.0,0.0,649.0,236.0
04069,1714.0,86.0,5.0,335.0,23.0,100.0,289.0,152.0,62.0,15.0,363.0,618.0
04071,4960.0,250.0,0.0,846.0,143.0,466.0,927.0,283.0,156.0,32.0,989.0,1864.0
04072,19008.0,1409.0,100.0,3694.0,605.0,1086.0,2961.0,1117.0,144.0,186.0,4399.0,5494.0
04073,16354.0,3146.0,100.0,3702.0,766.0,1088.0,1403.0,427.0,58.0,21.0,4568.0,2997.0
04074,19459.0,1176.0,43.0,2471.0,504.0,1522.0,4665.0,1652.0,356.0,243.0,3018.0,8438.0
04076,2675.0,200.0,5.0,681.0,64.0,304.0,217.0,45.0,5.0,6.0,750.0,577.0
04079,3909.0,317.0,9.0,628.0,88.0,265.0,857.0,483.0,121.0,124.0,725.0,1850.0
04083,4489.0,802.0,31.0,927.0,219.0,293.0,466.0,155.0,10.0,29.0,1177.0,953.0
04084,8099.0,496.0,15.0,1577.0,330.0,550.0,1243.0,345.0,47.0,35.0,1922.0,2220.0
04085,1972.0,137.0,0.0,533.0,23.0,187.0,197.0,62.0,51.0,0.0,556.0,497.0
04086,8731.0,624.0,88.0,1430.0,219.0,539.0,1807.0,757.0,91.0,75.0,1737.0,3269.0
04087,2169.0,68.0,0.0,461.0,14.0,134.0,107.0,75.0,0.0,0.0,475.0,316.0
04088,1301.0,165.0,8.0,375.0,73.0,104.0,86.0,47.0,8.0,8.0,456.0,253.0
04090,9974.0,381.0,18.0,1761.0,287.0,778.0,1656.0,799.0,115.0,130.0,2066.0,3478.0
04091,891.0,96.0,0.0,247.0,54.0,59.0,97.0,34.0,9.0,0.0,301.0,199.0
04092,17969.0,3101.0,111.0,3546.0,675.0,1223.0,2495.0,642.0,327.0,71.0,4332.0,4758.0
04093,8124.0,540.0,24.0,2041.0,212.0,676.0,949.0,235.0,38.0,64.0,2277.0,1962.0
04095,1185.0,59.0,3.0,382.0,74.0,127.0,102.0,26.0,9.0,0.0,459.0,264.0
04096,8502.0,466.0,3.0,873.0,117.0,616.0,2156.0,1080.0,371.0,132.0,993.0,4355.0
04097,3723.0,121.0,0.0,389.0,59.0,197.0,913.0,256.0,205.0,70.0,448.0,1641.0
04101,17031.0,5066.0,160.0,2039.0,747.0,754.0,3347.0,1598.0,336.0,323.0,2946.0,6358.0
04102,17833.0,3329.0,103.0,1738.0,370.0,1045.0,3772.0,1575.0,559.0,216.0,2211.0,7167.0
04103,30729.0,4064.0,83.0,3691.0,859.0,2026.0,6469.0,2622.0,922.0,473.0,4633.0,12512.0
04105,11556.0,379.0,0.0,749.0,92.0,509.0,3320.0,1464.0,614.0,302.0,841.0,6209.0
04106,25633.0,3067.0,124.0,3580.0,624.0,1751.0,5067.0,1934.0,473.0,156.0,4328.0,9381.0
04107,9117.0,294.0,0.0,557.0,41.0,665.0,2617.0,1205.0,467.0,144.0,598.0,5098.0
04108,952.0,40.0,5.0,58.0,26.0,38.0,245.0,209.0,31.0,16.0,89.0,539.0
04109,104.0,0.0,0.0,5.0,0.0,5.0,60.0,9.0,0.0,0.0,5.0,74.0
04110,1339.0,33.0,0.0,70.0,0.0,17.0,483.0,115.0,155.0,16.0,70.0,786.0
04210,22943.0,3302.0,65.0,4516.0,961.0,1549.0,2578.0,1042.0,292.0,213.0,5542.0,5674.0
04216,380.0,39.0,0.0,126.0,12.0,38.0,69.0,6.0,0.0,0.0,138.0,113.0
04217,2826.0,342.0,27.0,580.0,137.0,189.0,375.0,216.0,37.0,35.0,744.0,852.0
04219,1601.0,238.0,13.0,419.0,101.0,145.0,147.0,72.0,0.0,0.0,533.0,364.0
04220,3030.0,467.0,22.0,913.0,171.0,194.0,225.0,105.0,0.0,3.0,1106.0,527.0
04221,925.0,150.0,0.0,281.0,65.0,58.0,129.0,23.0,0.0,0.0,346.0,210.0
04222,3918.0,166.0,7.0,766.0,121.0,300.0,878.0,191.0,13.0,22.0,894.0,1404.0
04224,2828.0,743.0,25.0,787.0,163.0,223.0,167.0,36.0,0.0,0.0,975.0,426.0
04226,211.0,5.0,0.0,60.0,0.0,38.0,25.0,3.0,2.0,0.0,60.0,68.0
04227,32.0,4.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
04228,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04231,313.0,72.0,0.0,101.0,11.0,24.0,32.0,11.0,10.0,2.0,112.0,79.0
04234,186.0,78.0,0.0,9.0,0.0,63.0,7.0,0.0,0.0,0.0,9.0,70.0
04236,4353.0,289.0,25.0,846.0,157.0,443.0,543.0,121.0,46.0,0.0,1028.0,1153.0
04237,185.0,12.0,0.0,29.0,6.0,22.0,41.0,13.0,1.0,0.0,35.0,77.0
04238,1641.0,312.0,4.0,373.0,57.0,91.0,167.0,24.0,19.0,17.0,434.0,318.0
04239,4720.0,401.0,29.0,1031.0,130.0,434.0,497.0,158.0,0.0,48.0,1190.0,1137.0
04240,36277.0,7570.0,228.0,6947.0,2153.0,2385.0,2796.0,1142.0,284.0,196.0,9328.0,6803.0
04250,4201.0,384.0,11.0,1067.0,257.0,439.0,254.0,43.0,7.0,0.0,1335.0,743.0
04252,4672.0,281.0,17.0,904.0,92.0,387.0,569.0,123.0,9.0,0.0,1013.0,1088.0
04253,2109.0,273.0,0.0,491.0,91.0,212.0,192.0,65.0,12.0,0.0,582.0,481.0
04254,3040.0,598.0,16.0,791.0,172.0,104.0,246.0,26.0,10.0,0.0,979.0,386.0
04255,676.0,61.0,21.0,143.0,11.0,62.0,102.0,55.0,0.0,8.0,175.0,227.0
04256,2967.0,500.0,27.0,741.0,169.0,166.0,139.0,106.0,12.0,18.0,937.0,441.0
04257,2614.0,583.0,34.0,864.0,180.0,274.0,216.0,15.0,0.0,0.0,1078.0,505.0
08001,1044.0,36.0,11.0,229.0,8.0,78.0,112.0,22.0,0.0,0.0,248.0,212.0
08002,22238.0,2266.0,225.0,3162.0,280.0,886.0,4088.0,1872.0,612.0,180.0,3667.0,7638.0
08003,30060.0,890.0,128.0,2664.0,290.0,1262.0,7156.0,3612.0,1967.0,946.0,3082.0,14943.0
08004,12366.0,698.0,236.0,2769.0,295.0,913.0,1461.0,391.0,80.0,34.0,3300.0,2879.0
08005,23166.0,2357.0,131.0,5542.0,610.0,1395.0,2634.0,947.0,242.0,67.0,6283.0,5285.0
08006,430.0,6.0,0.0,89.0,4.0,27.0,87.0,71.0,5.0,7.0,93.0,197.0
08007,5178.0,278.0,15.0,1366.0,73.0,276.0,665.0,280.0,82.0,0.0,1454.0,1303.0
08008,6693.0,445.0,6.0,1199.0,37.0,429.0,1730.0,1055.0,255.0,74.0,1242.0,3543.0
08009,13120.0,758.0,140.0,2782.0,260.0,813.0,2139.0,503.0,75.0,54.0,3182.0,3584.0
08010,11452.0,1228.0,115.0,2890.0,393.0,655.0,1111.0,396.0,112.0,62.0,3398.0,2336.0
08011,87.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0
08012,41059.0,3293.0,269.0,8177.0,836.0,2929.0,5007.0,1769.0,387.0,135.0,9282.0,10227.0
08014,731.0,162.0,0.0,156.0,0.0,96.0,12.0,48.0,0.0,0.0,156.0,156.0
08015,20188.0,2656.0,119.0,4807.0,901.0,1059.0,1247.0,313.0,21.0,26.0,5827.0,2666.0
08016,33486.0,2339.0,217.0,6623.0,631.0,2082.0,4147.0,1911.0,247.0,166.0,7471.0,8553.0
08019,1072.0,59.0,13.0,252.0,25.0,86.0,131.0,22.0,4.0,0.0,290.0,243.0
08020,2634.0,142.0,55.0,705.0,117.0,91.0,477.0,78.0,14.0,0.0,877.0,660.0
08021,44241.0,6170.0,490.0,9268.0,1298.0,2556.0,4775.0,1456.0,124.0,152.0,11056.0,9063.0
08022,8957.0,222.0,76.0,1494.0,178.0,653.0,2210.0,535.0,96.0,140.0,1748.0,3634.0
08023,438.0,51.0,13.0,105.0,24.0,80.0,0.0,0.0,0.0,0.0,142.0,80.0
08026,2157.0,114.0,18.0,510.0,30.0,146.0,253.0,114.0,41.0,17.0,558.0,571.0
08027,4870.0,484.0,23.0,1381.0,155.0,302.0,552.0,126.0,21.0,48.0,1559.0,1049.0
08028,20610.0,3581.0,177.0,3629.0,318.0,1028.0,2141.0,987.0,192.0,243.0,4124.0,4591.0
08029,4203.0,468.0,0.0,1232.0,69.0,279.0,253.0,118.0,57.0,9.0,1301.0,716.0
08030,13311.0,1684.0,151.0,3491.0,361.0,479.0,1269.0,336.0,85.0,24.0,4003.0,2193.0
08031,11503.0,2072.0,154.0,3218.0,368.0,713.0,802.0,315.0,42.0,31.0,3740.0,1903.0
08033,16303.0,535.0,30.0,1301.0,59.0,650.0,4028.0,2049.0,998.0,423.0,1390.0,8148.0
08034,18832.0,853.0,107.0,2655.0,305.0,836.0,4042.0,1801.0,645.0,282.0,3067.0,7606.0
08035,7650.0,288.0,11.0,969.0,90.0,348.0,1960.0,798.0,260.0,80.0,1070.0,3446.0
08036,5842.0,221.0,1.0,996.0,112.0,327.0,1082.0,273.0,83.0,52.0,1109.0,1817.0
08037,23861.0,2270.0,196.0,6129.0,684.0,1022.0,2752.0,860.0,120.0,85.0,7009.0,4839.0
08038,57.0,0.0,0.0,16.0,6.0,4.0,3.0,2.0,0.0,0.0,22.0,9.0
08039,110.0,0.0,0.0,23.0,0.0,0.0,24.0,0.0,5.0,0.0,23.0,29.0
08041,1099.0,164.0,0.0,184.0,13.0,45.0,133.0,52.0,23.0,7.0,197.0,260.0
08042,118.0,0.0,0.0,17.0,5.0,10.0,15.0,0.0,0.0,0.0,22.0,25.0
08043,29329.0,1843.0,390.0,4324.0,213.0,1270.0,6134.0,2675.0,1004.0,415.0,4927.0,11498.0
08045,2836.0,519.0,47.0,695.0,80.0,152.0,344.0,175.0,14.0,22.0,822.0,707.0
08046,31442.0,3009.0,319.0,6212.0,899.0,1847.0,3185.0,1502.0,153.0,130.0,7430.0,6817.0
08048,12419.0,652.0,50.0,1974.0,166.0,707.0,2320.0,885.0,228.0,81.0,2190.0,4221.0
08049,5772.0,836.0,33.0,1483.0,120.0,409.0,606.0,179.0,18.0,6.0,1636.0,1218.0
08050,24793.0,1599.0,99.0,5573.0,585.0,1456.0,3475.0,1199.0,223.0,177.0,6257.0,6530.0
08051,10515.0,753.0,73.0,2013.0,134.0,666.0,1742.0,661.0,105.0,64.0,2220.0,3238.0
08052,19003.0,1781.0,68.0,4630.0,546.0,1076.0,2376.0,860.0,170.0,82.0,5244.0,4564.0
08053,45578.0,2170.0,297.0,6866.0,541.0,2646.0,9993.0,3615.0,913.0,456.0,7704.0,17623.0
08054,41849.0,2350.0,138.0,5455.0,539.0,2382.0,8823.0,4333.0,978.0,534.0,6132.0,17050.0
08055,27396.0,543.0,121.0,3146.0,250.0,1541.0,6569.0,2721.0,930.0,607.0,3517.0,12368.0
08056,4596.0,143.0,26.0,692.0,62.0,276.0,829.0,456.0,131.0,73.0,780.0,1765.0
08057,20899.0,746.0,59.0,2320.0,193.0,1048.0,4930.0,2170.0,1366.0,295.0,2572.0,9809.0
08059,5576.0,585.0,15.0,1562.0,120.0,413.0,571.0,135.0,92.0,26.0,1697.0,1237.0
08060,24330.0,1344.0,79.0,4244.0,578.0,1351.0,4064.0,1476.0,250.0,167.0,4901.0,7308.0
08061,3072.0,264.0,0.0,320.0,47.0,134.0,672.0,166.0,44.0,26.0,367.0,1042.0
08062,16035.0,630.0,53.0,2071.0,145.0,877.0,2921.0,1153.0,375.0,292.0,2269.0,5618.0
08063,3083.0,246.0,10.0,1030.0,84.0,134.0,184.0,32.0,11.0,8.0,1124.0,369.0
08064,153.0,0.0,0.0,92.0,6.0,15.0,1.0,6.0,6.0,0.0,98.0,28.0
08065,7306.0,874.0,26.0,1798.0,172.0,539.0,1059.0,269.0,52.0,27.0,1996.0,1946.0
08066,8450.0,1919.0,32.0,2186.0,256.0,523.0,768.0,149.0,33.0,18.0,2474.0,1491.0
08067,1704.0,143.0,13.0,341.0,38.0,118.0,208.0,95.0,13.0,9.0,392.0,443.0
08068,7061.0,830.0,137.0,1486.0,288.0,519.0,645.0,253.0,2.0,35.0,1911.0,1454.0
08069,12752.0,2443.0,103.0,2705.0,401.0,737.0,642.0,254.0,32.0,30.0,3209.0,1695.0
08070,12557.0,1439.0,40.0,3247.0,565.0,965.0,1087.0,389.0,41.0,27.0,3852.0,2509.0
08071,9635.0,668.0,54.0,1751.0,200.0,704.0,1364.0,567.0,129.0,79.0,2005.0,2843.0
08072,278.0,8.0,0.0,99.0,4.0,0.0,26.0,5.0,0.0,0.0,103.0,31.0
08073,366.0,0.0,0.0,78.0,0.0,77.0,16.0,18.0,0.0,0.0,78.0,111.0
08074,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08075,29044.0,1958.0,243.0,6255.0,646.0,1519.0,4729.0,1583.0,122.0,113.0,7144.0,8066.0
08077,19260.0,1116.0,76.0,3533.0,196.0,1232.0,3789.0,1515.0,314.0,170.0,3805.0,7020.0
08078,8365.0,888.0,71.0,1851.0,169.0,334.0,1015.0,319.0,77.0,13.0,2091.0,1758.0
08079,10372.0,2518.0,99.0,3031.0,185.0,493.0,694.0,277.0,12.0,17.0,3315.0,1493.0
