Name,Population,Poverty Count,No Education,High School Education,GED Education,Associates Degree,Bachelors Degree,Masters Degree,Professional Degree,Doctoral Degree,Poverty Rate,No Degree,Degree
Ohio,11586941.0,1732839.0,68548.0,2352099.0,302041.0,658910.0,1310995.0,571298.0,126124.0,84458.0,14.955103335729422,2722688.0,2751785.0
Oklahoma,3875589.0,621155.0,24165.0,674234.0,127364.0,187963.0,413818.0,147982.0,34195.0,24120.0,16.027370291328623,825763.0,808078.0
Oregon,3982267.0,614223.0,29374.0,531494.0,126026.0,234336.0,538977.0,228435.0,57683.0,41278.0,15.423953240704353,686894.0,1100709.0
Pennsylvania,12783977.0,1647762.0,87634.0,2831106.0,352143.0,712180.0,1578040.0,725919.0,168216.0,123775.0,12.88927537964125,3270883.0,3308130.0
Rhode Island,1054491.0,140161.0,10971.0,167868.0,32780.0,61626.0,140296.0,66860.0,15365.0,12707.0,13.291815672205832,211619.0,296854.0
South Carolina,4834605.0,806422.0,37090.0,818122.0,144900.0,299118.0,551968.0,231904.0,46665.0,34520.0,16.680204484130556,1000112.0,1164175.0
South Dakota,851058.0,115300.0,3401.0,147109.0,24514.0,61483.0,107762.0,31029.0,7576.0,6418.0,13.5478428027232,175024.0,214268.0
Tennessee,6548009.0,1100169.0,50460.0,1180447.0,271155.0,301681.0,712781.0,286087.0,71678.0,51870.0,16.80158044987415,1502062.0,1424097.0
Texas,26956435.0,4397307.0,333777.0,3512336.0,773790.0,1160660.0,3158468.0,1193252.0,264500.0,184457.0,16.312642973746343,4619903.0,5961337.0
Utah,2948427.0,338808.0,13450.0,343976.0,49508.0,166445.0,358887.0,128852.0,29082.0,23900.0,11.49114426099069,406934.0,707166.0
Vermont,626249.0,69673.0,2426.0,114813.0,15841.0,37454.0,94823.0,44724.0,10898.0,7780.0,11.12544690690125,133080.0,195679.0
Virginia,8310301.0,921664.0,68478.0,1154899.0,223120.0,413611.0,1191485.0,646798.0,137081.0,98277.0,11.090621145972932,1446497.0,2487252.0
Washington,7073146.0,883256.0,54750.0,911101.0,190055.0,469700.0,1022117.0,419011.0,100222.0,70809.0,12.48745607682918,1155906.0,2081859.0
West Virginia,1846092.0,318060.0,11212.0,437243.0,87728.0,87889.0,153834.0,72391.0,16701.0,10780.0,17.22882716571005,536183.0,341595.0
Wisconsin,5754798.0,713472.0,33041.0,1093662.0,139558.0,401314.0,729499.0,269368.0,62625.0,42590.0,12.397863487128479,1266261.0,1505396.0
Wyoming,583029.0,65762.0,1102.0,93152.0,19780.0,41392.0,66753.0,23915.0,5187.0,4819.0,11.279370322917043,114034.0,142066.0
Puerto Rico,3529385.0,1577075.0,63375.0,593352.0,64185.0,228886.0,425085.0,113180.0,29010.0,23575.0,44.68413052132312,720912.0,819736.0
