County,Population,Poverty Count,No Degree,Degree,Lat,Lng
Los Angeles County,10051066.0,1764731.0,1612473.0,2520789.0,34.37,-118.2
Loudon County,57309.0,8217.0,14967.0,13104.0,35.73,-84.32
Loudoun County,360492.0,14142.0,33245.0,148751.0,39.08,-77.65
Love County,9268.0,1168.0,2717.0,1209.0,33.95,-97.23
Lowndes County,190670.0,44810.0,37088.0,35876.0,30.83,-83.25
Lubbock County,294795.0,55023.0,47133.0,59245.0,33.6,-101.83
Lucas County,440082.0,88243.0,92766.0,101758.0,41.65,-83.67
Lumpkin County,25201.0,5223.0,4767.0,5437.0,34.57,-84.02
Luna County,24627.0,7153.0,5708.0,2937.0,32.59,-107.98
Luquillo Municipio,19237.0,8450.0,4680.0,3770.0,18.34,-65.72
Luzerne County,316201.0,48022.0,89703.0,71017.0,41.38,-76.25
Lycoming County,117487.0,15934.0,33480.0,25247.0,41.5,-77.5
Lyman County,3812.0,829.0,943.0,666.0,43.93,-99.88
Lynn County,5911.0,1202.0,1373.0,842.0,33.17,-101.83
Lyon County,132762.0,19445.0,30986.0,26355.0,39,-119.13
Mackinac County,10076.0,1595.0,2717.0,2140.0,46.08,-85
Macomb County,858605.0,102402.0,190657.0,205042.0,42.7,-82.95
Macon County,210227.0,40210.0,52849.0,40566.0,39.87,-88.97
Madera County,152684.0,31918.0,28427.0,19968.0,37.17,-119.83
Madison County,1394284.0,203076.0,280660.0,355285.0,34.73,-86.57
Madison Parish,11170.0,3897.0,3012.0,1146.0,32.37,-91.25
Mahaska County,21111.0,2910.0,5261.0,4743.0,41.33,-92.65
Mahoning County,230706.0,40821.0,62869.0,49237.0,41.03,-80.77
Malheur County,30448.0,6642.0,6282.0,4281.0,43.25,-117.67
Manatee County,355730.0,50122.0,84522.0,95256.0,27.5,-82.29
Manistee County,24531.0,3702.0,6860.0,5575.0,44.33,-86.05
Manitowoc County,79698.0,8162.0,23617.0,17168.0,44.07,-87.8
Marathon County,126338.0,14157.0,32300.0,31447.0,44.9,-89.77
Maricao Municipio,6320.0,4047.0,1749.0,632.0,18.17,-66.95
Maricopa County,4103360.0,667840.0,653498.0,1056881.0,33.5,-112.5
Maries County,6963.0,1242.0,2327.0,1078.0,38.17,-91.88
Marin County,258595.0,20367.0,23072.0,119851.0,38.07,-122.73
Marinette County,43613.0,5513.0,14076.0,7454.0,45.37,-88.07
Marion County,2027870.0,375780.0,450565.0,429461.0,39.77,-86.16
Mariposa County,16232.0,2773.0,3571.0,3906.0,37.55,-119.9
Marquette County,81670.0,12002.0,19061.0,19831.0,46.53,-87.63
Marshall County,368182.0,53697.0,97893.0,61767.0,34.38,-86.33
Martin County,228052.0,30204.0,52966.0,61146.0,27.08,-80.42
Mason County,150538.0,24657.0,41254.0,28028.0,38.58,-83.8
Massac County,14797.0,2740.0,3665.0,2564.0,37.23,-88.73
Matagorda County,37256.0,7868.0,8781.0,5605.0,28.85,-95.95
Matanuska-Susitna Borough,98869.0,9367.0,20270.0,19197.0,62.5,-150.01
Maui County,162411.0,15767.0,36630.0,40777.0,20.87,-156.5
Maunabo Municipio,11506.0,6431.0,2291.0,1962.0,18.02,-65.93
Maury County,72298.0,12417.0,19147.0,12762.0,35.63,-87.07
Maverick County,56594.0,13879.0,8110.0,5923.0,28.77,-100.35
Mayes County,39055.0,8478.0,10244.0,5797.0,36.3,-95.27
McClain County,41597.0,3797.0,10007.0,7930.0,35.02,-97.52
McCracken County,66127.0,11430.0,14670.0,15972.0,37.05,-88.7
McDonald County,22639.0,4763.0,5515.0,2920.0,36.63,-94.35
McDonough County,31529.0,6491.0,5262.0,7767.0,40.47,-90.67
McDowell County,65728.0,16064.0,18720.0,9412.0,37.37,-81.65
McHenry County,338465.0,25730.0,61874.0,95376.0,42.33,-88.47
McKean County,42279.0,6630.0,14576.0,7433.0,41.88,-78.88
McKenzie County,8420.0,658.0,1633.0,2076.0,47.71,-103.45
McKinley County,68640.0,24974.0,14395.0,7800.0,35.9,-109.03
McLean County,193948.0,26009.0,33020.0,58010.0,40.48,-88.83
McLennan County,247350.0,47240.0,45174.0,47314.0,31.55,-97.18
McLeod County,36996.0,2953.0,9500.0,8226.0,44.83,-94.25
McPherson County,32612.0,2225.0,6482.0,8061.0,38.4,-97.67
Meade County,49623.0,6382.0,11689.0,9898.0,44.5,-102.63
Mecklenburg County,1056443.0,147228.0,140724.0,349218.0,35.27,-80.85
Mecosta County,42392.0,8806.0,9394.0,8176.0,43.65,-85.33
Medina County,216841.0,16914.0,49001.0,56561.0,41.1,-81.88
Meeker County,20593.0,1956.0,5268.0,4624.0,45.13,-94.52
Mellette County,3455.0,1678.0,661.0,314.0,43.56,-100.75
Mendocino County,87190.0,17352.0,16818.0,19553.0,39.42,-123.42
Menominee County,27333.0,4907.0,8420.0,5012.0,45.57,-87.57
Merced County,264011.0,62520.0,45610.0,32048.0,37.17,-120.75
Mercer County,652522.0,76967.0,146053.0,175458.0,40.38,-74.88
Meriwether County,19177.0,4660.0,5498.0,1910.0,33.05,-84.7
Merrick County,7462.0,790.0,1801.0,1411.0,41.15,-98.08
Merrimack County,151186.0,12541.0,30529.0,48735.0,43.3,-71.68
Mesa County,148263.0,23664.0,30046.0,34705.0,39.03,-108.47
Miami County,162762.0,19228.0,41474.0,33116.0,40.05,-84.23
Miami-Dade County,2664425.0,522143.0,573123.0,677872.0,25.62,-80.53
Middlesex County,2548387.0,207949.0,425625.0,965856.0,42.5,-71.33
Midland County,232440.0,21460.0,41589.0,55373.0,43.65,-84.4
Milam County,23653.0,3563.0,6103.0,3578.0,30.8,-96.95
Millard County,12604.0,1288.0,2416.0,2298.0,39.13,-113.13
Miller County,71810.0,14704.0,20335.0,9711.0,33.28,-93.88
Mills County,19435.0,1833.0,4529.0,4477.0,41.03,-95.62
Milwaukee County,955331.0,198227.0,183068.0,233299.0,43,-87.97
Mineral County,38467.0,6441.0,12568.0,5953.0,39.4,-78.95
Minnehaha County,188232.0,20753.0,36078.0,51552.0,43.67,-96.76
Mississippi County,58377.0,14859.0,14790.0,7049.0,35.77,-90.05
Missoula County,111123.0,17388.0,16283.0,36265.0,47.02,-113.8
Mobile County,414791.0,78663.0,93422.0,84071.0,30.78,-88.2
Moca Municipio,38488.0,21641.0,8997.0,6203.0,18.39,-67.08
Modoc County,8198.0,1442.0,1717.0,1832.0,41.57,-120.73
Mohave County,202881.0,37814.0,56063.0,29726.0,36.08,-113.77
Monmouth County,643829.0,47925.0,116091.0,224758.0,40.3,-74.17
Mono County,12975.0,1121.0,1409.0,3289.0,37.92,-118.87
Monongalia County,102778.0,21125.0,19423.0,27734.0,39.65,-80.03
Monroe County,1547029.0,231495.0,321946.0,422330.0,43.15,-77.68
Montague County,20630.0,3114.0,5458.0,3076.0,33.68,-97.72
Montcalm County,65463.0,10671.0,17878.0,10665.0,43.33,-85.12
Monterey County,416085.0,63853.0,61767.0,84549.0,36.25,-121.25
Montgomery County,3673197.0,418271.0,603515.0,1191972.0,39.15,-77.2
Montmorency County,10601.0,1736.0,3695.0,1690.0,45.03,-84.13
Montrose County,40549.0,7181.0,9284.0,9205.0,38.42,-108.27
Morehouse Parish,25959.0,7400.0,8067.0,3234.0,32.8,-91.8
Morgan County,353620.0,53638.0,91499.0,63579.0,34.45,-86.85
Morovis Municipio,32087.0,16601.0,6354.0,5780.0,18.32,-66.42
Morris County,506405.0,25332.0,81400.0,199806.0,40.83,-74.53
Morrison County,30960.0,3547.0,8211.0,6203.0,46.02,-94.3
Morrow County,37262.0,4309.0,10534.0,5419.0,45.5,-119.55
Morton County,33804.0,2917.0,7490.0,8538.0,46.77,-101.26
Mountrail County,10154.0,1342.0,1956.0,2398.0,48.22,-102.33
Mower County,39399.0,5420.0,8714.0,8555.0,43.67,-92.77
Multnomah County,770649.0,130604.0,106357.0,274622.0,45.5,-122.42
Murray County,58488.0,9578.0,15218.0,7893.0,34.48,-97.03
Muscatine County,44219.0,4862.0,10196.0,9671.0,41.47,-91.13
Muscogee County,189506.0,39459.0,35428.0,42320.0,32.5,-84.87
Muskegon County,173915.0,32505.0,41904.0,33658.0,43.3,-86.13
Muskingum County,91166.0,15216.0,26254.0,14971.0,39.95,-81.95
Muskogee County,74950.0,14653.0,18561.0,13577.0,35.58,-95.33
Nacogdoches County,66518.0,14770.0,11545.0,11967.0,31.6,-94.63
Naguabo Municipio,26460.0,13311.0,5358.0,4854.0,18.23,-65.76
Nance County,3579.0,423.0,921.0,706.0,41.4,-98
Napa County,141653.0,12271.0,20368.0,40886.0,38.48,-122.33
Naranjito Municipio,30094.0,14219.0,6024.0,5541.0,18.29,-66.26
Nash County,101111.0,18298.0,24195.0,19566.0,35.97,-77.97
Nassau County,1446175.0,90740.0,256092.0,502455.0,40.75,-73.58
Natchitoches Parish,40426.0,12121.0,8432.0,7129.0,31.77,-93.13
Natrona County,80877.0,8350.0,15869.0,17768.0,42.97,-106.78
Navajo County,98293.0,26654.0,20148.0,14828.0,36.94,-110.81
Navarro County,47642.0,9332.0,9952.0,7359.0,32.05,-96.47
Nelson County,67537.0,9096.0,18128.0,14162.0,37.8,-85.47
Neosho County,16512.0,3053.0,3463.0,3156.0,37.57,-95.28
Nevada County,104118.0,14563.0,17343.0,33383.0,39.35,-120.88
New Castle County,547008.0,60669.0,109675.0,157581.0,39.79,-75.63
New Hanover County,218510.0,37645.0,33726.0,70166.0,34.25,-77.87
New Haven County,861103.0,106796.0,186292.0,246118.0,41.4,-72.93
New London County,273618.0,25677.0,60375.0,77135.0,41.48,-72.07
New York County,1625513.0,276991.0,177846.0,793730.0,40.78,-73.97
Newberry County,39220.0,6886.0,10212.0,6853.0,34.3,-81.62
Newport County,82714.0,7292.0,14025.0,31444.0,41.58,-71.25
Nez Perce County,39185.0,5186.0,8724.0,8405.0,46.63,-116.63
Niagara County,213109.0,28394.0,53315.0,53602.0,43.17,-78.77
Noble County,72980.0,8899.0,20411.0,11427.0,41.4,-85.42
Nobles County,21691.0,2952.0,5041.0,3263.0,43.67,-95.77
Nolan County,15744.0,2586.0,3619.0,2372.0,32.3,-100.42
Nome Census Area,9879.0,2593.0,2329.0,971.0,64.83,-163.75
Norfolk County,704704.0,45813.0,106078.0,287451.0,42.17,-71.25
North Slope Borough,9623.0,1070.0,2401.0,1308.0,69.25,-152
Northampton County,324803.0,33573.0,81698.0,81180.0,40.88,-75.25
Northwest Arctic Borough,7695.0,1854.0,1833.0,604.0,66.83,-161
Noxubee County,11028.0,3510.0,2516.0,1547.0,33.13,-88.56
Nueces County,355306.0,58985.0,69205.0,64348.0,27.73,-97.63
Nye County,43190.0,7354.0,12374.0,6417.0,38,-116.5
Oakland County,1260402.0,118137.0,179359.0,463326.0,42.67,-83.4
Obion County,29681.0,6106.0,8880.0,4428.0,36.38,-89.15
Ocean County,584285.0,64668.0,145123.0,141198.0,39.9,-74.22
Oconee County,109368.0,16379.0,22668.0,29325.0,34.77,-83.08
Oconto County,34248.0,3154.0,11084.0,6757.0,45,-88.18
Ogle County,50312.0,5341.0,12106.0,10001.0,42.03,-89.32
Oglethorpe County,9647.0,2011.0,2831.0,1553.0,33.87,-83.08
Ohio County,76064.0,11976.0,21296.0,15807.0,40.1,-80.62
Okaloosa County,198150.0,23462.0,35920.0,53507.0,30.69,-86.56
Okanogan County,40371.0,8660.0,8772.0,7607.0,48.55,-119.73
Okeechobee County,42994.0,9868.0,12135.0,5087.0,27.42,-80.92
Okfuskee County,12258.0,2979.0,3209.0,1662.0,35.47,-96.37
Oklahoma County,801661.0,135257.0,138913.0,194260.0,35.55,-97.4
Okmulgee County,36333.0,7332.0,8971.0,6521.0,35.65,-95.97
Oktibbeha County,48486.0,13844.0,5144.0,12264.0,33.44,-88.83
Olmsted County,146031.0,13419.0,20928.0,53287.0,44,-92.45
Oneida County,272805.0,41025.0,66287.0,67830.0,43.2,-75.47
Onondaga County,463634.0,67801.0,84086.0,144269.0,43,-76.17
Onslow County,183962.0,23839.0,29811.0,29227.0,34.75,-77.43
Ontario County,108491.0,10833.0,21926.0,34003.0,42.87,-77.32
Ontonagon County,6161.0,927.0,2161.0,1381.0,46.67,-89.33
Orange County,5105981.0,689638.0,773976.0,1517643.0,33.7,-117.77
Orleans County,68399.0,9816.0,19538.0,13388.0,43.25,-78.23
Orleans Parish,382922.0,97252.0,63846.0,108014.0,30.03,-89.95
Osborne County,3992.0,640.0,1001.0,841.0,39.35,-98.78
Osceola County,335322.0,64203.0,80412.0,61525.0,28.04,-81.12
Oswego County,123228.0,21510.0,32573.0,24546.0,43.45,-76.15
Otero County,90717.0,22044.0,17641.0,16305.0,32.53,-105.77
Otoe County,15218.0,1654.0,4017.0,3298.0,40.63,-96.13
Otsego County,83450.0,12208.0,19502.0,20566.0,45.03,-84.57
Ottawa County,358537.0,39463.0,72091.0,86164.0,42.95,-86
Otter Tail County,53759.0,5220.0,12060.0,14401.0,46.4,-95.7
Ouachita County,25760.0,6083.0,7850.0,4232.0,33.58,-92.9
Ouachita Parish,157020.0,35616.0,34666.0,28560.0,32.48,-92.15
Outagamie County,200026.0,16885.0,45513.0,54200.0,44.42,-88.47
Owyhee County,10060.0,2346.0,2551.0,1048.0,42.56,-116.06
Oxford County,57554.0,9627.0,19192.0,11542.0,44.52,-70.7
Ozaukee County,89208.0,4779.0,14051.0,33906.0,43.38,-87.95
Palm Beach County,1404769.0,191537.0,272517.0,438824.0,26.65,-80.45
Palo Pinto County,28125.0,4864.0,7040.0,3901.0,32.75,-98.3
Pamlico County,10812.0,1544.0,2622.0,2481.0,35.13,-76.75
Panola County,58010.0,11645.0,13850.0,8836.0,32.17,-94.3
Park County,60634.0,5410.0,12149.0,18472.0,44.42,-109.67
Parker County,110543.0,10435.0,20961.0,26404.0,32.77,-97.8
Pasco County,469426.0,64224.0,119159.0,110409.0,28.29,-82.42
Pasquotank County,39940.0,6533.0,8979.0,7451.0,36.3,-76.28
Passaic County,506237.0,83744.0,119973.0,107534.0,41.07,-74.37
Patillas Municipio,18135.0,10279.0,4227.0,2975.0,18.04,-66.02
Patrick County,17856.0,3730.0,4908.0,3147.0,36.67,-80.28
Pawnee County,25522.0,3353.0,7160.0,4845.0,40.13,-96.23
Payne County,82670.0,19359.0,12263.0,18688.0,36.07,-96.97
Peach County,35985.0,6509.0,7472.0,6015.0,32.57,-83.83
Pearl River County,56516.0,11074.0,11900.0,9800.0,30.64,-89.64
Pecos County,15870.0,1334.0,4067.0,1559.0,30.75,-102.75
Pembina County,7223.0,424.0,1909.0,1638.0,48.77,-97.52
Pennington County,123599.0,15485.0,24475.0,32523.0,43.98,-102.77
Penobscot County,155345.0,24057.0,39162.0,38406.0,45.25,-68.67
Peoria County,187357.0,30071.0,35296.0,49368.0,40.77,-89.77
Perkins County,5990.0,609.0,1551.0,1316.0,45.52,-102.46
Perry County,215100.0,36045.0,64820.0,33285.0,37.25,-83.2
Petersburg Census Area,3882.0,414.0,901.0,803.0,56.77,-133.19
Pettis County,41590.0,6972.0,9227.0,7614.0,38.73,-93.3
Phelps County,55615.0,9661.0,12221.0,12120.0,37.9,-91.83
Philadelphia County,1560023.0,392356.0,368462.0,329835.0,40.13,-75
Phillips County,34527.0,8567.0,7914.0,5587.0,48.2,-107.93
Pickaway County,55808.0,6286.0,16562.0,9451.0,39.65,-83.03
Pickens County,182716.0,30297.0,38478.0,39169.0,34.92,-82.72
Pierce County,901697.0,113112.0,178013.0,214163.0,47.03,-122.12
Pike County,300597.0,58075.0,78619.0,49220.0,31.82,-85.95
Pima County,996130.0,185619.0,156756.0,259443.0,32,-112
Pinal County,389850.0,60848.0,81262.0,73632.0,33,-111.52
Pine County,28009.0,3665.0,8516.0,4638.0,46.08,-92.25
Pinellas County,939548.0,130727.0,214404.0,280674.0,27.9,-82.71
Piscataquis County,16706.0,3391.0,5262.0,3437.0,45.8,-69.3
Pitkin County,14819.0,1202.0,1362.0,7753.0,39.2,-106.93
Pitt County,177535.0,41436.0,27493.0,42841.0,35.58,-77.38
Pittsburg County,41875.0,6933.0,10661.0,7325.0,34.95,-95.77
Placer County,374124.0,32095.0,51296.0,125700.0,39.07,-120.77
Plaquemines Parish,23584.0,3990.0,6049.0,3203.0,29.45,-89.7
Platte County,136453.0,10945.0,23439.0,40224.0,41.55,-97.48
Plumas County,17001.0,2246.0,3170.0,4353.0,39.98,-120.87
Plymouth County,527630.0,41500.0,109440.0,159716.0,41.83,-70.83
Pocahontas County,14836.0,2361.0,4968.0,2706.0,38.32,-80.03
Polk County,1459226.0,222818.0,326765.0,333278.0,27.96,-81.71
Ponce Municipio,152730.0,77306.0,32787.0,35033.0,18.07,-66.62
Pontotoc County,66748.0,11838.0,14963.0,12079.0,34.69,-96.69
Pope County,77330.0,13557.0,17571.0,13900.0,35.45,-93.05
Portage County,237926.0,33176.0,55310.0,54523.0,41.17,-81.2
Porter County,159932.0,17360.0,38113.0,38435.0,41.47,-87.06
Pottawatomie County,91482.0,14071.0,20798.0,16444.0,35.22,-96.95
Pottawattamie County,92800.0,10657.0,22102.0,19460.0,41.33,-95.53
Potter County,142012.0,27226.0,31205.0,20367.0,35.42,-101.9
Powell County,19426.0,3711.0,5688.0,3059.0,37.83,-83.82
Power County,6741.0,822.0,1521.0,761.0,42.69,-112.82
Pratt County,9254.0,1219.0,1728.0,2137.0,37.65,-98.73
Presidio County,7124.0,1749.0,1127.0,1176.0,29.92,-104.25
Price County,13454.0,1728.0,4324.0,2763.0,45.68,-90.35
Prince Edward County,25526.0,3990.0,5026.0,4287.0,44.03,-77.25
Prince George's County,889827.0,83525.0,162755.0,221602.0,38.83,-76.85
Prince William County,455265.0,31814.0,66255.0,133623.0,38.7,-77.48
Providence County,631545.0,104178.0,134847.0,149800.0,41.83,-71.6
Prowers County,12257.0,2434.0,2284.0,2161.0,37.97,-102.4
Pueblo County,162581.0,31902.0,32726.0,35975.0,38.18,-104.48
Pulaski County,570264.0,100641.0,119482.0,132276.0,34.77,-92.3
Putnam County,424631.0,61790.0,109269.0,93451.0,36.17,-85.65
Quay County,8525.0,1639.0,2360.0,1320.0,35.04,-103.54
Quebradillas Municipio,26490.0,14935.0,5981.0,4906.0,18.44,-66.92
Queens County,2311382.0,333779.0,499205.0,627536.0,40.7,-73.8
Rabun County,16074.0,3480.0,4087.0,3754.0,34.88,-83.4
Racine County,205495.0,24717.0,45811.0,46874.0,42.75,-88.08
Raleigh County,80597.0,14032.0,23554.0,14177.0,37.75,-81.25
Ramsey County,543430.0,83097.0,89295.0,175173.0,45.03,-93.08
Randall County,127723.0,13805.0,18632.0,32840.0,34.97,-101.9
Randolph County,314184.0,51716.0,84815.0,50983.0,35.7,-79.82
Rankin County,146880.0,13893.0,28166.0,38843.0,32.26,-90.04
Rapides Parish,134497.0,26020.0,34283.0,21526.0,31.17,-92.48
Rappahannock County,5520.0,512.0,1195.0,1679.0,38.67,-78.15
Ravalli County,42218.0,7282.0,10143.0,10792.0,46.13,-114.13
Redwood County,15871.0,1769.0,4344.0,3114.0,44.42,-95.23
Refugio County,7368.0,1143.0,1974.0,1028.0,28.33,-97.17
Reno County,63113.0,8734.0,13150.0,12698.0,37.95,-98.08
Rensselaer County,160735.0,19055.0,32450.0,48616.0,42.72,-73.48
Rice County,77761.0,8178.0,15728.0,18919.0,44.35,-93.33
Richland County,579143.0,88248.0,107088.0,146218.0,34.02,-80.92
Richmond County,722753.0,121487.0,160889.0,170909.0,33.37,-82.1
Riley County,85018.0,15128.0,7584.0,21887.0,39.33,-96.7
Rio Arriba County,26453.0,5465.0,6292.0,4553.0,36.53,-106.7
Rio Blanco County,6624.0,788.0,1434.0,1352.0,39.95,-108.2
Riverside County,2326883.0,378214.0,416673.0,426444.0,33.73,-116.05
Roanoke County,85473.0,7047.0,16127.0,27603.0,37.28,-80.05
Roberts County,10098.0,1924.0,2296.0,1928.0,45.52,-96.98
Robertson County,84308.0,9518.0,22579.0,13887.0,36.52,-86.87
Robeson County,135095.0,41297.0,30249.0,18222.0,34.63,-79.1
Rock County,170859.0,24155.0,43032.0,35952.0,42.67,-89.07
Rock Island County,148029.0,21413.0,32604.0,32249.0,41.45,-90.52
Rockdale County,86323.0,15061.0,18682.0,19388.0,33.65,-84.02
Rockingham County,459464.0,39872.0,100079.0,134489.0,42.97,-71.1
Rockland County,322642.0,46128.0,48947.0,98387.0,41.17,-74.05
Rockwall County,89208.0,5422.0,13471.0,25787.0,32.9,-96.4
Rogers County,75943.0,8092.0,18132.0,14944.0,36.37,-95.58
Roosevelt County,21476.0,4879.0,3524.0,3698.0,33.97,-103.45
Roscommon County,26316.0,5033.0,8299.0,4780.0,44.33,-84.6
Roseau County,15814.0,1304.0,3918.0,3160.0,48.78,-95.8
Rosebud County,10145.0,2100.0,2033.0,1947.0,46.33,-106.58
Ross County,78384.0,13255.0,24833.0,12930.0,39.35,-83.07
Rowan County,146697.0,26848.0,33163.0,28813.0,35.65,-80.52
Rush County,19678.0,3237.0,6166.0,2990.0,39.61,-85.45
Rusk County,57967.0,8588.0,14548.0,8579.0,32.12,-94.78
Russell County,110735.0,21950.0,25831.0,19052.0,32.35,-85.2
Rutherford County,356516.0,49134.0,71883.0,80082.0,35.85,-86.4
Rutland County,61263.0,7215.0,15577.0,16665.0,43.62,-73.02
Sabana Grande Municipio,24013.0,11762.0,6277.0,4582.0,18.09,-66.95
Sac County,10063.0,1015.0,2741.0,2270.0,42.38,-95.12
Sacramento County,1481396.0,261028.0,247187.0,381507.0,38.47,-121.32
Saginaw County,194793.0,33695.0,46065.0,39919.0,43.33,-84.03
Saguache County,6580.0,1488.0,1278.0,1338.0,38.08,-106.25
Salinas Municipio,30500.0,16457.0,7426.0,5337.0,18.02,-66.25
Saline County,234993.0,29597.0,55454.0,46535.0,34.65,-92.68
Salt Lake County,1094600.0,122616.0,160325.0,283012.0,40.63,-111.88
Sampson County,85702.0,20541.0,19965.0,12813.0,34.97,-78.4
San Augustine County,7877.0,1919.0,2572.0,919.0,31.4,-94.17
San Benito County,56644.0,5972.0,9803.0,9677.0,36.62,-121.08
San Bernardino County,2102369.0,391059.0,368502.0,356634.0,34.67,-116.17
San Diego County,3248213.0,444068.0,447280.0,975956.0,33.03,-116.8
San Francisco County,850256.0,104154.0,103425.0,402901.0,37.77,-122.45
San Joaquin County,713366.0,124622.0,133875.0,121564.0,37.93,-121.3
San Juan County,161053.0,32297.0,32744.0,30763.0,37.75,-109.5
San Luis Obispo County,277501.0,37192.0,37729.0,81078.0,35.37,-120.53
San Mateo County,773285.0,58387.0,97229.0,303030.0,37.45,-122.35
San Miguel County,35791.0,8906.0,6740.0,8633.0,35.48,-104.88
San Patricio County,71339.0,10430.0,14921.0,9363.0,28.02,-97.52
Sandoval County,139782.0,20489.0,24334.0,36355.0,35.65,-106.85
Sandusky County,65461.0,8042.0,19226.0,11337.0,41.35,-83.13
Sangamon County,198798.0,29785.0,38790.0,57384.0,39.77,-89.65
Sanilac County,41594.0,6451.0,12868.0,6577.0,43.43,-82.85
Sanpete County,28647.0,4265.0,4498.0,5022.0,39.25,-111.5
Santa Barbara County,439544.0,66918.0,55153.0,108326.0,34.73,-120.03
Santa Clara County,1861559.0,170993.0,217685.0,706840.0,37.23,-121.77
Santa Cruz County,337566.0,52296.0,41502.0,96934.0,37.07,-122.05
Santa Fe County,164111.0,26635.0,27472.0,54346.0,35.52,-105.95
Santa Isabel Municipio,22732.0,11449.0,5323.0,4584.0,18,-66.39
Santa Rosa County,166571.0,19874.0,31651.0,45599.0,30.71,-87.04
Sarasota County,398096.0,43412.0,96961.0,131135.0,27.17,-82.33
Saratoga County,220020.0,13803.0,39211.0,79992.0,43.1,-73.85
Sargent County,3839.0,254.0,850.0,966.0,46.1,-97.63
Sarpy County,173118.0,11062.0,24467.0,52196.0,41.1,-96.13
Sauk County,72276.0,7525.0,18938.0,16595.0,43.45,-89.95
Schenectady County,172329.0,18666.0,36210.0,52395.0,42.83,-74.08
Schoharie County,31409.0,4229.0,8724.0,6952.0,42.57,-74.47
Schoolcraft County,8551.0,1797.0,3075.0,1512.0,46.22,-86.2
Schuyler County,28120.0,4525.0,8142.0,5917.0,42.42,-76.88
Schuylkill County,145733.0,18052.0,51865.0,26191.0,40.88,-76.25
Scioto County,79199.0,18005.0,23005.0,12454.0,38.8,-82.98
Scotland County,39617.0,11003.0,9442.0,6198.0,34.83,-79.5
Scott County,526815.0,66383.0,114363.0,129113.0,41.63,-90.63
Scotts Bluff County,36842.0,4851.0,7576.0,7937.0,41.87,-103.7
Scurry County,17539.0,1262.0,3923.0,2354.0,32.73,-100.93
Sebastian County,127626.0,27877.0,28090.0,22506.0,35.17,-94.27
Sedgwick County,511854.0,75872.0,90704.0,122287.0,37.72,-97.45
Seminole County,437596.0,55387.0,75614.0,142534.0,28.71,-81.21
Seneca County,93396.0,13166.0,27223.0,17351.0,41.12,-83.12
Sevier County,136448.0,21249.0,34211.0,22437.0,33.98,-94.25
Seward County,39782.0,5694.0,6820.0,7136.0,37.2,-100.83
Shasta County,171241.0,29271.0,31565.0,38321.0,40.77,-122.03
Shawnee County,178811.0,25176.0,38275.0,43278.0,39.05,-95.77
Sheboygan County,115225.0,9948.0,30102.0,26980.0,43.73,-87.93
Shelby County,1337173.0,241546.0,254242.0,319035.0,35.2,-89.87
Sherburne County,103984.0,8137.0,18253.0,26102.0,45.45,-93.77
Sheridan County,42741.0,4025.0,8233.0,11694.0,44.83,-106.92
Sherman County,13063.0,1933.0,3173.0,2658.0,39.35,-101.72
Shiawassee County,72867.0,9868.0,18490.0,14038.0,42.95,-84.15
Sibley County,13484.0,1392.0,3793.0,2472.0,44.57,-94.2
Silver Bow County,34433.0,6550.0,8000.0,8096.0,45.9,-112.67
Sioux County,39288.0,4111.0,7252.0,8911.0,42.73,-96.23
Siskiyou County,44622.0,9653.0,8532.0,10449.0,41.58,-122.52
Sitka City and Borough,8921.0,796.0,1649.0,2589.0,57.17,-135.33
Skagit County,122648.0,18264.0,23412.0,29689.0,48.47,-121.78
Slope County,306.0,42.0,64.0,80.0,46.39,-103.39
Smith County,259793.0,44845.0,49972.0,54635.0,32.37,-95.23
Smyth County,31561.0,5661.0,9085.0,5149.0,36.85,-81.52
Snohomish County,754856.0,69427.0,129113.0,210745.0,48.05,-121.72
Snyder County,36064.0,3720.0,11173.0,6101.0,40.77,-77.08
Socorro County,17582.0,3812.0,3667.0,2700.0,34.03,-106.88
Solano County,428348.0,53255.0,72172.0,100860.0,38.23,-121.95
Somerset County,452295.0,37007.0,95657.0,150802.0,40.57,-74.55
Sonoma County,497886.0,54988.0,74491.0,149188.0,38.55,-122.9
Southeast Fairbanks Census Area,7181.0,1037.0,1593.0,1341.0,63.75,-143.25
Spalding County,61203.0,14120.0,16130.0,9036.0,33.27,-84.28
Spartanburg County,288050.0,47665.0,60579.0,62919.0,34.93,-81.98
Spencer County,37976.0,3501.0,10950.0,7018.0,38.01,-87.04
Spink County,6630.0,669.0,1765.0,1426.0,44.94,-98.32
Spokane County,483346.0,73008.0,84094.0,132058.0,47.62,-117.37
St. Lawrence County,113045.0,19533.0,26634.0,24958.0,44.5,-75.12
Stanislaus County,532318.0,96020.0,104155.0,80726.0,37.55,-121
Stanly County,62605.0,10103.0,15193.0,11931.0,35.33,-80.25
Stark County,411530.0,55174.0,110653.0,86188.0,40.82,-81.37
Starr County,63387.0,23673.0,10074.0,4390.0,26.57,-98.77
Stearns County,158820.0,20446.0,30834.0,38357.0,45.55,-94.55
Steele County,38982.0,3569.0,9388.0,9177.0,44.03,-93.13
Stephens County,83293.0,14570.0,22504.0,13094.0,34.47,-97.85
Stephenson County,47382.0,7294.0,11915.0,9481.0,42.35,-89.67
Steuben County,132069.0,17958.0,34715.0,30717.0,42.27,-77.33
