County,Population,Poverty Count,No Degree,Degree,Lat,Lng
Eureka County,1711.0,188.0,560.0,310.0,40,-116.13
Fairbanks North Star Borough,100226.0,7465.0,13894.0,26057.0,64.83,-146.42
Fairfax County,1158179.0,68806.0,112322.0,513722.0,38.85,-77.35
Fairfield County,1099953.0,100605.0,187102.0,369911.0,41.27,-73.32
Fajardo Municipio,33912.0,14866.0,7871.0,7008.0,18.31,-65.68
Fall River County,7628.0,1151.0,1899.0,2004.0,43.27,-103.55
Falls County,15164.0,3550.0,4107.0,1678.0,31.27,-96.93
Fannin County,57465.0,9342.0,15519.0,9835.0,33.6,-96.12
Faulkner County,119418.0,18320.0,22747.0,26623.0,35.17,-92.33
Fayette County,762669.0,121361.0,169111.0,196573.0,38.05,-84.45
Fergus County,11397.0,1565.0,2799.0,3100.0,47.3,-109.27
Fillmore County,29250.0,3145.0,7196.0,6741.0,43.67,-92.1
Finney County,36784.0,5747.0,5675.0,5711.0,38.02,-100.67
Flagler County,100982.0,13255.0,26022.0,24564.0,29.46,-81.29
Flathead County,98481.0,13425.0,20459.0,26785.0,48.33,-114.25
Florence County,149891.0,28293.0,35011.0,30631.0,34.05,-79.67
Floyd County,241522.0,44141.0,55153.0,46495.0,34.27,-85.15
Fond du Lac County,96688.0,8211.0,25760.0,22304.0,43.75,-88.47
Ford County,47897.0,7692.0,9295.0,7643.0,40.58,-88.25
Forrest County,68288.0,18640.0,12911.0,12909.0,31.31,-89.29
Forsyth County,536077.0,80551.0,87827.0,158152.0,36.13,-80.23
Fort Bend County,639650.0,51699.0,78222.0,208801.0,29.55,-95.78
Fountain County,19701.0,2497.0,6223.0,3155.0,40.11,-87.26
Franklin County,2210567.0,341647.0,451727.0,569434.0,39.97,-83.02
Franklin Parish,19367.0,5684.0,5429.0,1961.0,32.15,-91.68
Franklin city,13357.0,1972.0,2942.0,2619.0,38.01,-75.38
Frederick County,339004.0,22002.0,63267.0,102383.0,39.47,-77.4
Freeborn County,29219.0,3304.0,7776.0,5919.0,43.67,-93.35
Fremont County,106167.0,13747.0,28006.0,21725.0,38.48,-105.4
Fresno County,968011.0,255735.0,159229.0,162493.0,36.67,-119.83
Fulton County,1241251.0,198434.0,186434.0,421542.0,33.77,-84.45
Gage County,21150.0,2232.0,5661.0,4781.0,40.27,-96.68
Gallatin County,112123.0,14903.0,16257.0,35479.0,45.67,-111.2
Galveston County,335551.0,42894.0,56980.0,86746.0,29.37,-94.97
Garfield County,135659.0,15471.0,30081.0,29834.0,36.19,-98.06
Garland County,103258.0,20028.0,23522.0,23011.0,34.57,-93.15
Garrett County,27539.0,3474.0,8466.0,5374.0,39.55,-79.25
Garvin County,30886.0,5642.0,9031.0,4256.0,34.72,-97.33
Gaston County,215140.0,35687.0,45802.0,43583.0,35.3,-81.2
Geary County,29989.0,3854.0,5072.0,5131.0,39,-96.67
Genesee County,487338.0,93489.0,110511.0,103798.0,43.03,-83.68
Georgetown County,52182.0,10874.0,11378.0,12401.0,33.45,-79.35
Gibson County,88332.0,13114.0,23979.0,15520.0,38.36,-87.57
Gila County,48268.0,8573.0,10548.0,10008.0,33.52,-110.52
Gilchrist County,16899.0,3607.0,4474.0,2333.0,29.71,-82.79
Gilmer County,35962.0,7028.0,9581.0,6164.0,34.68,-84.45
Glacier County,13695.0,4502.0,3145.0,2306.0,48.65,-112.97
Glenn County,28463.0,5609.0,5598.0,3697.0,39.6,-122.43
Gloucester County,312137.0,25657.0,75186.0,79988.0,39.73,-75.13
Glynn County,82511.0,15151.0,16014.0,20487.0,31.23,-81.53
Gogebic County,15750.0,2919.0,4702.0,3356.0,46.38,-89.7
Goliad County,6538.0,1171.0,1811.0,1177.0,28.65,-97.43
Goodhue County,47442.0,4947.0,10986.0,12342.0,44.42,-92.72
Gordon County,56904.0,11346.0,14212.0,6803.0,34.5,-84.87
Goshen County,13429.0,2031.0,2835.0,3098.0,42.08,-104.35
Gosper County,1868.0,119.0,464.0,445.0,40.53,-99.83
Gove County,2808.0,243.0,715.0,675.0,38.92,-100.48
Grady County,67561.0,12905.0,17864.0,10192.0,35.03,-97.9
Grafton County,89292.0,9699.0,17859.0,28910.0,43.95,-71.8
Graham County,50327.0,10739.0,10821.0,7033.0,39.35,-99.88
Grand County,24240.0,3128.0,4714.0,7795.0,38.88,-109.5
Grand Forks County,69842.0,11531.0,10371.0,18437.0,47.94,-97.43
Grand Traverse County,97032.0,8930.0,18324.0,30058.0,44.68,-85.47
Granite County,2600.0,419.0,619.0,620.0,46.4,-113.47
Grant County,335295.0,54615.0,80349.0,58174.0,47.15,-119.48
Gratiot County,43915.0,7156.0,12798.0,6639.0,43.28,-84.6
Gray County,29838.0,3965.0,6366.0,4672.0,35.42,-100.8
Grays Harbor County,73760.0,12237.0,17999.0,13766.0,47.08,-123.83
Grayson County,167087.0,27896.0,39207.0,30836.0,33.62,-96.68
Greeley County,3762.0,301.0,974.0,846.0,41.57,-98.53
Green Lake County,20625.0,2333.0,6145.0,3932.0,43.8,-89.03
Greene County,757866.0,122613.0,175399.0,165894.0,37.27,-93.35
Greenville County,512788.0,70948.0,92377.0,141439.0,34.88,-82.37
Greenwood County,74467.0,16297.0,15654.0,16901.0,34.17,-82.12
Gregg County,150357.0,25442.0,28997.0,27575.0,32.52,-94.82
Griggs County,2130.0,161.0,491.0,555.0,47.43,-98.22
Grimes County,29269.0,5108.0,7609.0,3857.0,30.53,-95.97
Grundy County,87172.0,11152.0,22481.0,17237.0,35.27,-85.83
Guadalupe County,134017.0,13694.0,26650.0,31828.0,29.57,-97.97
Guayama Municipio,41993.0,21434.0,10611.0,7381.0,18.02,-66.13
Guayanilla Municipio,19996.0,11725.0,4319.0,4298.0,18.05,-66.79
Guaynabo Municipio,98806.0,25809.0,13058.0,39394.0,18.34,-66.12
Guernsey County,39957.0,7489.0,12236.0,6417.0,40.05,-81.52
Guilford County,512429.0,87136.0,87291.0,143309.0,36.07,-79.8
Gunnison County,15585.0,2239.0,1865.0,5882.0,38.7,-107.07
Gurabo Municipio,46990.0,15141.0,8166.0,14239.0,18.27,-65.97
Guthrie County,11151.0,1167.0,3155.0,2407.0,41.68,-94.5
Gwinnett County,811837.0,104325.0,126365.0,226453.0,33.95,-84.05
Haakon County,2187.0,389.0,583.0,471.0,44.28,-101.58
Habersham County,44992.0,7526.0,11131.0,7438.0,34.62,-83.5
Haines Borough,2592.0,140.0,490.0,875.0,59.25,-135.5
Hale County,53262.0,11064.0,13200.0,6755.0,32.76,-87.63
Halifax County,90658.0,20772.0,23972.0,14565.0,36.25,-77.65
Hall County,256334.0,43316.0,51146.0,46492.0,34.32,-83.78
Hamblen County,67606.0,13854.0,20090.0,9817.0,36.2,-83.27
Hamilton County,1527730.0,217353.0,270023.0,459887.0,39.18,-84.53
Hampden County,467807.0,80104.0,99790.0,112003.0,42.17,-72.58
Hampshire County,187154.0,24396.0,33896.0,56570.0,42.33,-72.58
Hampton County,24930.0,4222.0,7145.0,3421.0,32.8,-81.12
Hancock County,324047.0,40387.0,80091.0,79439.0,41.02,-83.67
Hanover County,100784.0,6616.0,18954.0,30211.0,37.75,-77.48
Hardin County,254397.0,34893.0,62828.0,48574.0,37.7,-85.97
Harding County,1627.0,228.0,387.0,417.0,45.58,-103.5
Harford County,248894.0,18950.0,48820.0,72605.0,39.55,-76.3
Harnett County,114376.0,20505.0,22895.0,20897.0,35.38,-78.85
Harper County,9844.0,1353.0,2559.0,1895.0,37.2,-98.08
Harris County,4489228.0,769196.0,728795.0,1024173.0,29.83,-95.4
Harrison County,431875.0,77424.0,105158.0,81101.0,30.41,-89.04
Hartford County,895909.0,100860.0,175080.0,276966.0,41.77,-72.77
Harvey County,37128.0,4384.0,6801.0,8751.0,38.05,-97.43
Haskell County,23021.0,4096.0,5693.0,3449.0,35.22,-95.13
Hatillo Municipio,41327.0,18400.0,6626.0,10625.0,18.41,-66.79
Hawaii County,193680.0,35737.0,43548.0,50653.0,19.5,-155.5
Hays County,201882.0,32391.0,28522.0,49604.0,30.05,-98.03
Haywood County,75921.0,13356.0,17955.0,17996.0,35.55,-82.97
Henderson County,280284.0,45405.0,65895.0,61070.0,37.78,-87.57
Hendricks County,135030.0,6661.0,26650.0,38139.0,39.76,-86.53
Hennepin County,1212620.0,141544.0,157379.0,467917.0,45.02,-93.45
Henrico County,356664.0,44012.0,58049.0,115465.0,37.55,-77.37
Henry County,538585.0,79008.0,132738.0,105200.0,33.45,-84.15
Herkimer County,60863.0,8516.0,15573.0,14739.0,43.45,-74.95
Hernando County,170920.0,26461.0,47778.0,34631.0,28.54,-82.46
Hidalgo County,832837.0,268873.0,125635.0,101672.0,26.33,-98.2
Highland County,44029.0,9006.0,13335.0,6470.0,39.18,-83.62
Highlands County,100589.0,18911.0,29416.0,18407.0,27.37,-81.35
Hill County,52363.0,10691.0,11409.0,9403.0,48.65,-110.1
Hillsborough County,1750616.0,249304.0,335489.0,499089.0,27.92,-82.35
Hillsdale County,45385.0,8129.0,12170.0,7771.0,41.9,-84.6
Hinds County,244931.0,60442.0,40725.0,55957.0,32.31,-90.24
Hocking County,27025.0,4841.0,8794.0,4218.0,39.52,-82.47
Holt County,14914.0,1584.0,4070.0,3397.0,40.1,-95.22
Honolulu County,986999.0,90359.0,185102.0,294695.0,21.47,-157.97
Hood County,55911.0,6449.0,12749.0,12562.0,32.43,-97.87
Hooker County,761.0,107.0,212.0,215.0,41.92,-101.15
Hoonah-Angoon Census Area,2043.0,252.0,521.0,472.0,57.95,-134.94
Hopkins County,81511.0,14346.0,22852.0,13006.0,37.33,-87.55
Hormigueros Municipio,16678.0,6013.0,3864.0,3610.0,18.14,-67.12
Horry County,311767.0,53275.0,73729.0,74178.0,33.92,-78.98
Houston County,301961.0,54196.0,67453.0,63073.0,31.15,-85.32
Howard County,476201.0,40614.0,74895.0,166369.0,39.25,-76.93
Hubbard County,23061.0,3428.0,5215.0,5645.0,47.1,-94.9
Hudson County,668526.0,115156.0,132481.0,203552.0,40.72,-74.07
Hudspeth County,3295.0,1108.0,649.0,222.0,31.47,-105.3
Huerfano County,6045.0,1086.0,1434.0,1680.0,37.68,-104.95
Hughes County,31919.0,3914.0,7640.0,6867.0,35.07,-96.27
Humacao Municipio,55557.0,24903.0,12472.0,13030.0,18.15,-65.81
Humboldt County,163410.0,31013.0,30011.0,38720.0,40.67,-123.92
Hunt County,80142.0,15511.0,18367.0,12424.0,33.15,-96.07
Hunterdon County,128011.0,5500.0,20716.0,50488.0,40.57,-74.93
Huntington County,39149.0,4192.0,11369.0,7742.0,40.88,-85.5
Huron County,93415.0,12224.0,30739.0,14443.0,41.15,-82.55
Hyde County,6881.0,1266.0,2126.0,942.0,44.55,-99.46
Iberia Parish,74354.0,14735.0,20993.0,8669.0,29.95,-91.75
Idaho County,17888.0,2908.0,4865.0,3119.0,45.96,-114.63
Imperial County,173921.0,38803.0,27643.0,21661.0,33.03,-115.42
Indian River County,145369.0,20302.0,35115.0,40302.0,27.69,-80.58
Indiana County,93158.0,14901.0,27359.0,18207.0,40.88,-79.13
Ingham County,302065.0,63448.0,41250.0,84404.0,42.6,-84.38
Inyo County,19291.0,1979.0,4660.0,4477.0,36.58,-117.42
Ionia County,63714.0,8453.0,17334.0,10636.0,42.95,-85.07
Iosco County,26695.0,4450.0,8321.0,5085.0,44.33,-83.63
Iredell County,164717.0,21786.0,33286.0,40201.0,35.78,-80.88
Iron County,75004.0,14998.0,15138.0,15038.0,37.75,-113.13
Iroquois County,27339.0,4256.0,8139.0,4764.0,40.75,-87.83
Isabella County,67869.0,18040.0,11149.0,13193.0,43.65,-84.85
Isanti County,35250.0,2654.0,9040.0,6774.0,45.55,-93.3
Island County,80113.0,7362.0,13363.0,25141.0,48.13,-122.58
Isle of Wight County,35007.0,3543.0,7167.0,9160.0,36.88,-76.7
Itasca County,44168.0,5785.0,9892.0,10887.0,47.5,-93.58
Jackson County,1730887.0,296397.0,384143.0,382787.0,39.02,-94.35
Jackson Parish,14228.0,3849.0,4253.0,1890.0,32.33,-92.55
James City County,96952.0,9167.0,13519.0,37570.0,37.3,-76.77
Jasper County,311564.0,47444.0,82785.0,53201.0,37.2,-94.35
Jeff Davis County,17461.0,3345.0,4302.0,2505.0,30.7,-104.08
Jefferson County,3262724.0,466855.0,660381.0,843544.0,38.18,-85.65
Jefferson Davis Parish,29718.0,5385.0,8508.0,3527.0,30.25,-92.83
Jefferson Parish,435204.0,69402.0,99260.0,92918.0,29.73,-90.1
Jersey County,17961.0,1693.0,4712.0,3810.0,39.07,-90.35
Jessamine County,49925.0,9130.0,9657.0,11711.0,37.87,-84.57
Jim Wells County,41973.0,8502.0,10202.0,4444.0,27.77,-98.1
Jo Daviess County,22033.0,1985.0,6106.0,5164.0,42.35,-90.18
Johnson County,1193988.0,120289.0,183059.0,379928.0,38.87,-94.87
Johnston County,160339.0,25246.0,34557.0,32406.0,35.53,-78.4
Jones County,119952.0,22589.0,27726.0,23044.0,31.67,-89.16
Josephine County,85464.0,16629.0,20745.0,16151.0,42.42,-123.58
Juneau City and Borough,32504.0,2345.0,4801.0,10429.0,58.42,-134.33
Kalamazoo County,254882.0,43485.0,37284.0,71958.0,42.25,-85.55
Kanawha County,190690.0,29898.0,52465.0,43178.0,38.33,-81.57
Kandiyohi County,41993.0,4688.0,7714.0,10320.0,45.13,-95
